GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Labtools,edu.eci.cvds.Labtools.model,Admin,3,0,0,0,1,0,1,0,1,0
Labtools,edu.eci.cvds.Labtools.model,BasicUser,3,0,0,0,1,0,1,0,1,0
Labtools,edu.eci.cvds.Labtools.model,User,2,0,0,0,2,0,2,0,2,0
Labtools,edu.eci.cvds.Labtools.controller,BookingController,10,6,0,0,4,3,4,1,4,1
Labtools,edu.eci.cvds.Labtools.controller,QueryController,2,6,0,0,1,3,1,1,1,1
Labtools,edu.eci.cvds.Labtools.controller,LoginController,4,9,0,0,2,4,2,1,2,1
Labtools,edu.eci.cvds.Labtools.service,BasicEmailVerificationService,2,3,0,0,1,1,1,1,1,1
Labtools,edu.eci.cvds.Labtools.service,BasicBookingService,8,3,0,0,4,1,4,1,4,1
Labtools,edu.eci.cvds.Labtools.service,BasicLogService,2,3,0,0,1,1,1,1,1,1
Labtools,edu.eci.cvds.Labtools.service,BasicHashService,2,3,0,0,1,1,1,1,1,1
Labtools,edu.eci.cvds.Labtools.repository,BasicLabRepository,7,3,0,0,4,1,4,1,4,1
Labtools,edu.eci.cvds.Labtools.repository,BasicUserRepository,8,3,0,0,5,1,5,1,5,1
Labtools,edu.eci.cvds.Labtools.repository,BasicBookingRepository,4,3,0,0,2,1,2,1,2,1
Labtools,edu.eci.cvds.Labtools,LabtoolsApplication,5,3,0,0,2,1,1,1,1,1
